song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
Surfin' Asteroids,https://phineasandferb.fandom.com/wiki/Surfin%27_Asteroids,Phineas and Ferb: Mission Marvel,Surf rock,1:04,NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonAntoine GuilbaudBernie PettersonEddie PittmanJ.G. OrrantiaJoshua PruettKazKim RobersonKyle Menke,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-08-16,411/412,"Spider-Man, Thor, Iron Man and Hulk arrive in town after their powers are accidentally removed by the evil Dr. Doofenshmirtz. Phineas and Ferb come to the rescue, and they work together to defeat some meddling Marvel villains, including Red Skull, Whiplash and Venom."
My Streets,https://phineasandferb.fandom.com/wiki/My_Streets,Phineas and Ferb: Mission Marvel,"Hip-hop, Rap, Rock",NA,NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonAntoine GuilbaudBernie PettersonEddie PittmanJ.G. OrrantiaJoshua PruettKazKim RobersonKyle Menke,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-08-16,411/412,"Spider-Man, Thor, Iron Man and Hulk arrive in town after their powers are accidentally removed by the evil Dr. Doofenshmirtz. Phineas and Ferb come to the rescue, and they work together to defeat some meddling Marvel villains, including Red Skull, Whiplash and Venom."
My Evil Buddies and Me,https://phineasandferb.fandom.com/wiki/My_Evil_Buddies_and_Me,Phineas and Ferb: Mission Marvel,Bubblegum pop,1:171:24 (album version),NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonAntoine GuilbaudBernie PettersonEddie PittmanJ.G. OrrantiaJoshua PruettKazKim RobersonKyle Menke,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-08-16,411/412,"Spider-Man, Thor, Iron Man and Hulk arrive in town after their powers are accidentally removed by the evil Dr. Doofenshmirtz. Phineas and Ferb come to the rescue, and they work together to defeat some meddling Marvel villains, including Red Skull, Whiplash and Venom."
Only Trying to Help,https://phineasandferb.fandom.com/wiki/Only_Trying_to_Help,Phineas and Ferb: Mission Marvel,Ballad,1:38,NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonAntoine GuilbaudBernie PettersonEddie PittmanJ.G. OrrantiaJoshua PruettKazKim RobersonKyle Menke,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-08-16,411/412,"Spider-Man, Thor, Iron Man and Hulk arrive in town after their powers are accidentally removed by the evil Dr. Doofenshmirtz. Phineas and Ferb come to the rescue, and they work together to defeat some meddling Marvel villains, including Red Skull, Whiplash and Venom."
Feelin' Super,https://phineasandferb.fandom.com/wiki/Feelin%27_Super,Phineas and Ferb: Mission Marvel,"Hip-hop, rap",0:331:37 (album version),NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonAntoine GuilbaudBernie PettersonEddie PittmanJ.G. OrrantiaJoshua PruettKazKim RobersonKyle Menke,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-08-16,411/412,"Spider-Man, Thor, Iron Man and Hulk arrive in town after their powers are accidentally removed by the evil Dr. Doofenshmirtz. Phineas and Ferb come to the rescue, and they work together to defeat some meddling Marvel villains, including Red Skull, Whiplash and Venom."
Feeling Froggy,https://phineasandferb.fandom.com/wiki/Feeling_Froggy,Phineas and Ferb: Mission Marvel,Rock,1:40,NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonAntoine GuilbaudBernie PettersonEddie PittmanJ.G. OrrantiaJoshua PruettKazKim RobersonKyle Menke,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-08-16,411/412,"Spider-Man, Thor, Iron Man and Hulk arrive in town after their powers are accidentally removed by the evil Dr. Doofenshmirtz. Phineas and Ferb come to the rescue, and they work together to defeat some meddling Marvel villains, including Red Skull, Whiplash and Venom."
Summer All Over the World,https://phineasandferb.fandom.com/wiki/Summer_All_Over_the_World,Phineas and Ferb Save Summer,Rock,02:30 (first part)00:30 (reprise)03:00 (all the parts)2:24 (album),NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonEddie PittmanJ.G. OrrantiaAliki Theofilopoulos GrafftJoshua PruettJohn MathotMike BellKyle MenkeMichael Diederich,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-06-20,427/428,"Phineas, Ferb and the gang host a global summer concert – just as Doofenshmirtz's latest ""-inator"" invention moves the Earth, putting summer itself in jeopardy."
Battle Hymn of the Republic,https://phineasandferb.fandom.com/wiki/Battle_Hymn_of_the_Republic,Phineas and Ferb Save Summer,Anthem,NA,NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonEddie PittmanJ.G. OrrantiaAliki Theofilopoulos GrafftJoshua PruettJohn MathotMike BellKyle MenkeMichael Diederich,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-06-20,427/428,"Phineas, Ferb and the gang host a global summer concert – just as Doofenshmirtz's latest ""-inator"" invention moves the Earth, putting summer itself in jeopardy."
Irving's Camp Fire Song,https://phineasandferb.fandom.com/wiki/Irving%27s_Camp_Fire_Song,Phineas and Ferb Save Summer,"Folk (Parts 1 and 2 and the end credits), rock (part 3)",NA,NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonEddie PittmanJ.G. OrrantiaAliki Theofilopoulos GrafftJoshua PruettJohn MathotMike BellKyle MenkeMichael Diederich,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-06-20,427/428,"Phineas, Ferb and the gang host a global summer concert – just as Doofenshmirtz's latest ""-inator"" invention moves the Earth, putting summer itself in jeopardy."
O.W.C.A.'s Goin' Down,https://phineasandferb.fandom.com/wiki/O.W.C.A.%27s_Goin%27_Down,Phineas and Ferb Save Summer,Show tune,NA,NA,NA,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonEddie PittmanJ.G. OrrantiaAliki Theofilopoulos GrafftJoshua PruettJohn MathotMike BellKyle MenkeMichael Diederich,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-06-20,427/428,"Phineas, Ferb and the gang host a global summer concert – just as Doofenshmirtz's latest ""-inator"" invention moves the Earth, putting summer itself in jeopardy."
Tatooine,https://phineasandferb.fandom.com/wiki/Tatooine_(song),Phineas and Ferb: Star Wars,"Calypso, Hip-Hop, Pop",2:012:33 (Album),8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
Sith Roast,https://phineasandferb.fandom.com/wiki/Sith_Roast,Leave the Busting to Us!,NA,0:04,8.1,266,25,Bobby GaylorMartin OlsonSherm CohenAntoine Guilbaud,Zac Moncrief,2008-04-19,117b,Candace is sure that with the help of a local television show she'll be able to bust her brothers. Dr. Doofenshmirtz recalls his failed magic career and decides to create a new ice age.Guest voice: Vicki Lewis as Lulu and Gwendoline Yeo as Fifi.
Socks,https://phineasandferb.fandom.com/wiki/Socks,Phineas and Ferb: Star Wars,March,00:06,8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
Sith Roast Decaf,https://phineasandferb.fandom.com/wiki/Sith_Roast_Decaf,Phineas and Ferb: Star Wars,NA,0:04,8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
Fully Operational Death Star,https://phineasandferb.fandom.com/wiki/Fully_Operational_Death_Star,S'Winter,Jingle,00:03,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
In the Empire,https://phineasandferb.fandom.com/wiki/In_the_Empire,Phineas and Ferb: Star Wars,"Jazz, Military March, Rock",2:01 (Episode)2:12 (Album),8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
Imperial March,https://phineasandferb.fandom.com/wiki/Imperial_March,Phineas and Ferb: Star Wars,NA,NA,8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
Cantina Band,https://phineasandferb.fandom.com/wiki/Cantina_Band,Phineas and Ferb: Star Wars,NA,NA,8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
I'm Feelin' So Low,https://phineasandferb.fandom.com/wiki/I%27m_Feelin%27_So_Low,Phineas and Ferb: Star Wars,"chill-out, jazz, lounge",1:14 (episode)1:42 (album),8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
Sith-Inator,https://phineasandferb.fandom.com/wiki/Sith-Inator_(song),Phineas and Ferb: Star Wars,Show tune,1:48,8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
"Rebel, Let's Go!","https://phineasandferb.fandom.com/wiki/Rebel,_Let%27s_Go!",Phineas and Ferb: Star Wars,Rock,2:25,8.2,740,NA,Dani VetereJim BernsteinMartin OlsonScott PetersonKyle MenkeJohn MathotMike BellMichael DiederichMichael B. SingletonEdward RiveraPatrick O'ConnorJ.G. OrrantiaEddie Pittman,"Robert F. HughesSue Perrotto""Assistant Director:""Russell Calabrese",2014-07-26,431/432,"A long time ago, in a galaxy far, far away in summer, Phineas and Ferb are living happily on Tatooine, just one moisture farm over from Luke Skywalker. They find themselves thrust into a global rebellion when the plans for blowing up the Death Star accidentally fall into their hands. Now that fate has suddenly pulled them into the fight for freedom, they must go in search of a pilot who can take them to the Rebels so they can hand over the plans. Complicating matters, Candace -- the boys' sister -- has a Stormtrooper-like intent on ""busting rebels"" who chase Phineas and Ferb across the galaxy in hopes of retrieving the Death Star plans. Meanwhile, back on the Death Star, Dr. Darth Enshmirtz, a low level Darth, has created a Force-powered ""Sith-inator"" that he plans to use against the Rebel Alliance. Agent P, working undercover for the Rebellion, is dispatched to stop him, but quickly gets trapped in carbonite. Then, things take a startling turn when Ferb is accidentally hit by the full blast of Dr. Darth Enshmirtz's ""inator"" and becomes an evil Sith."
Jump Right to It,https://phineasandferb.fandom.com/wiki/Jump_Right_to_It,Night of the Living Pharmacists,"Girl pop, Motown",01:00,NA,NA,NA,Joshua PruettScott PetersonJim BernsteinDani VetereEddie PittmanKim RobersonBernie PettersonPatrick O'ConnorJ.G. OrrantiaEdward RiveraAliki Theofilopoulos GrafftKyle Menke,"Sue PerrottoRobert F. Hughes""Assistant Director:""Derek Thompson",2014-10-04,429/430,"Doofenshmirtz's latest ""-inator"" accidentally turns the citizens of Danville into contagious Doof-zombies who run rampant all over town. Agent P and the kids must work together to save Danville and avoid becoming Doof-zombies themselves."
Army of Me,https://phineasandferb.fandom.com/wiki/Army_of_Me,Night of the Living Pharmacists,Jazz,1:20,NA,NA,NA,Joshua PruettScott PetersonJim BernsteinDani VetereEddie PittmanKim RobersonBernie PettersonPatrick O'ConnorJ.G. OrrantiaEdward RiveraAliki Theofilopoulos GrafftKyle Menke,"Sue PerrottoRobert F. Hughes""Assistant Director:""Derek Thompson",2014-10-04,429/430,"Doofenshmirtz's latest ""-inator"" accidentally turns the citizens of Danville into contagious Doof-zombies who run rampant all over town. Agent P and the kids must work together to save Danville and avoid becoming Doof-zombies themselves."
Triangulation,https://phineasandferb.fandom.com/wiki/Triangulation,Night of the Living Pharmacists,"Patter song, Pop",0:34,NA,NA,NA,Joshua PruettScott PetersonJim BernsteinDani VetereEddie PittmanKim RobersonBernie PettersonPatrick O'ConnorJ.G. OrrantiaEdward RiveraAliki Theofilopoulos GrafftKyle Menke,"Sue PerrottoRobert F. Hughes""Assistant Director:""Derek Thompson",2014-10-04,429/430,"Doofenshmirtz's latest ""-inator"" accidentally turns the citizens of Danville into contagious Doof-zombies who run rampant all over town. Agent P and the kids must work together to save Danville and avoid becoming Doof-zombies themselves."
Lots of Me,https://phineasandferb.fandom.com/wiki/Lots_of_Me,Doof 101,Hip-Hop,0:53,8.1,152,NA,"Dan PovenmireJeff ""Swampy"" MarshKim RobersonZac Moncrief","Robert F. Hughes""Assistant Director:""Russell Calabrese",2015-02-06,421a,"Dr. Doofenshmirtz is sentenced to community service for being evil and much to his daughter Vanessa’s chagrin, he’s assigned to teach science at her high school. Meanwhile, a trio of bugs embark on a journey to become the first insects to communicate with humans."
Serious Fun,https://phineasandferb.fandom.com/wiki/Serious_Fun,Last Day of Summer,Pop,1:45,9.4,445,NA,Dani VetereScott PetersonJim BernsteinMartin OlsonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsJohn MathotJoshua PruettKazKim RobersonMichael Diederich,"Sue PerrottoRobert F. Hughes""Assistant Directors:""Russell CalabreseDerek Thompson",2015-06-12,433/434,"On the inevitable 104th day of vacation, the season is coming to a close and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers."
To Do Today,https://phineasandferb.fandom.com/wiki/To_Do_Today,Last Day of Summer,Pop,NA,9.4,445,NA,Dani VetereScott PetersonJim BernsteinMartin OlsonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsJohn MathotJoshua PruettKazKim RobersonMichael Diederich,"Sue PerrottoRobert F. Hughes""Assistant Directors:""Russell CalabreseDerek Thompson",2015-06-12,433/434,"On the inevitable 104th day of vacation, the season is coming to a close and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers."
There's No One I'd Rather Go Nowhere With,https://phineasandferb.fandom.com/wiki/There%27s_No_One_I%27d_Rather_Go_Nowhere_With,Last Day of Summer,Pop,01:221:38 (album),9.4,445,NA,Dani VetereScott PetersonJim BernsteinMartin OlsonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsJohn MathotJoshua PruettKazKim RobersonMichael Diederich,"Sue PerrottoRobert F. Hughes""Assistant Directors:""Russell CalabreseDerek Thompson",2015-06-12,433/434,"On the inevitable 104th day of vacation, the season is coming to a close and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers."
When Tomorrow is This Morning Again,https://phineasandferb.fandom.com/wiki/When_Tomorrow_is_This_Morning_Again,Last Day of Summer,"Pop, Show Tune",01:34,9.4,445,NA,Dani VetereScott PetersonJim BernsteinMartin OlsonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsJohn MathotJoshua PruettKazKim RobersonMichael Diederich,"Sue PerrottoRobert F. Hughes""Assistant Directors:""Russell CalabreseDerek Thompson",2015-06-12,433/434,"On the inevitable 104th day of vacation, the season is coming to a close and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers."
The Muffin Man,https://phineasandferb.fandom.com/wiki/The_Muffin_Man,Last Day of Summer,Nursery rhyme,NA,9.4,445,NA,Dani VetereScott PetersonJim BernsteinMartin OlsonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsJohn MathotJoshua PruettKazKim RobersonMichael Diederich,"Sue PerrottoRobert F. Hughes""Assistant Directors:""Russell CalabreseDerek Thompson",2015-06-12,433/434,"On the inevitable 104th day of vacation, the season is coming to a close and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers."
Platypus Walk,https://phineasandferb.fandom.com/wiki/Platypus_Walk,Last Day of Summer,"Reggae, Surf Rock",00:05,9.4,445,NA,Dani VetereScott PetersonJim BernsteinMartin OlsonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsJohn MathotJoshua PruettKazKim RobersonMichael Diederich,"Sue PerrottoRobert F. Hughes""Assistant Directors:""Russell CalabreseDerek Thompson",2015-06-12,433/434,"On the inevitable 104th day of vacation, the season is coming to a close and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers."
Gotta Get Back in Time,https://phineasandferb.fandom.com/wiki/Gotta_Get_Back_in_Time,Last Day of Summer,Pop,NA,9.4,445,NA,Dani VetereScott PetersonJim BernsteinMartin OlsonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsJohn MathotJoshua PruettKazKim RobersonMichael Diederich,"Sue PerrottoRobert F. Hughes""Assistant Directors:""Russell CalabreseDerek Thompson",2015-06-12,433/434,"On the inevitable 104th day of vacation, the season is coming to a close and it’s Candace’s last chance to bust her brothers; who build huge playground equipment for the finale of summer. She is quickly foiled, but when she goes to return a DVD to Vanessa and finds Dr. Doofenshmirtz’s Do-Over-Inator, she finds an opportunity to redo the day, which results in other consequences like rips in the space-time continuum, the shortening of days and the disappearance of her brothers."
Curtain Call/Time Spent Together,https://phineasandferb.fandom.com/wiki/Curtain_Call/Time_Spent_Together,O.W.C.A. Files,"Ballad, Pop rock",01:30 (first part)2:11 (second part)4:04 (album version),NA,NA,NA,Joshua PruettMartin OlsonScott PetersonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsEddie PittmanJohn MathotKim RobersonKazKyle MenkeMike Bell,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2016-01-15,436/437,"A standalone hour-long special focusing on the organization’s best secret agent, Agent P (also known as Perry the Platypus), and his fellow animal agents. When an evil mastermind from Major Monogram’s past, Professor Parenthesis, launches an attack on the O.W.C.A. by incapacitating the animal agents with robotic fleas, only Agent P and his agent trainees can save the day."
O.W.C.A. Files,https://phineasandferb.fandom.com/wiki/O.W.C.A._Files_(song),S'Winter,Rock,1:10,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Beautiful Lunchtime,https://phineasandferb.fandom.com/wiki/Beautiful_Lunchtime,O.W.C.A. Files,"Ballad, Villain Song",NA,NA,NA,NA,Joshua PruettMartin OlsonScott PetersonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsEddie PittmanJohn MathotKim RobersonKazKyle MenkeMike Bell,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2016-01-15,436/437,"A standalone hour-long special focusing on the organization’s best secret agent, Agent P (also known as Perry the Platypus), and his fellow animal agents. When an evil mastermind from Major Monogram’s past, Professor Parenthesis, launches an attack on the O.W.C.A. by incapacitating the animal agents with robotic fleas, only Agent P and his agent trainees can save the day."
